,District_Key,District
0,TG_Adilabad,adilabad
1,MP_Agar Malwa,agar malwa
2,UP_Agra,agra
3,GJ_Ahmedabad,ahmedabad
4,MH_Ahmednagar,ahmednagar
5,MZ_Aizawl,aizawl
6,RJ_Ajmer,ajmer
7,MH_Akola,akola
8,KL_Alappuzha,alappuzha
9,UP_Aligarh,aligarh
10,WB_Alipurduar,alipurduar
11,MP_Alirajpur,alirajpur
12,UT_Almora,almora
13,RJ_Alwar,alwar
14,HR_Ambala,ambala
15,UP_Ambedkar Nagar,ambedkar nagar
16,UP_Amethi,amethi
17,MH_Amravati,amravati
18,GJ_Amreli,amreli
19,PB_Amritsar,amritsar
20,UP_Amroha,amroha
21,GJ_Anand,anand
22,AP_Anantapur,anantapur
23,JK_Anantnag,anantnag
24,OR_Angul,angul
25,AR_Anjaw,anjaw
26,MP_Anuppur,anuppur
27,BR_Araria,araria
28,GJ_Aravalli,aravalli
29,TN_Ariyalur,ariyalur
30,BR_Arwal,arwal
31,MP_Ashoknagar,ashoknagar
32,UP_Auraiya,auraiya
33,BR_Aurangabad,aurangabad
34,UP_Ayodhya,ayodhya
35,UP_Azamgarh,azamgarh
36,KA_Bagalkote,bagalkote
37,UT_Bageshwar,bageshwar
38,UP_Baghpat,baghpat
39,UP_Bahraich,bahraich
40,AS_Baksa,baksa
41,MP_Balaghat,balaghat
42,OR_Balangir,balangir
43,OR_Balasore,balasore
44,KA_Ballari,ballari
45,UP_Ballia,ballia
46,CT_Balod,balod
47,CT_Baloda Bazar,baloda bazar
48,CT_Balrampur,balrampur
49,CT_Bametara,bametara
50,GJ_Banaskantha,banaskantha
51,UP_Banda,banda
52,JK_Bandipora,bandipora
53,BR_Banka,banka
54,WB_Bankura,bankura
55,RJ_Banswara,banswara
56,UP_Barabanki,barabanki
57,JK_Baramulla,baramulla
58,RJ_Baran,baran
59,UP_Bareilly,bareilly
60,OR_Bargarh,bargarh
61,RJ_Barmer,barmer
62,PB_Barnala,barnala
63,AS_Barpeta,barpeta
64,MP_Barwani,barwani
65,CT_Bastar,bastar
66,UP_Basti,basti
67,PB_Bathinda,bathinda
68,MH_Beed,beed
69,BR_Begusarai,begusarai
70,KA_Belagavi,belagavi
71,KA_Bengaluru Rural,bengaluru rural
72,KA_Bengaluru Urban,bengaluru urban
73,MP_Betul,betul
74,UP_Bhadohi,bhadohi
75,TG_Bhadradri Kothagudem,bhadradri kothagudem
76,OR_Bhadrak,bhadrak
77,BR_Bhagalpur,bhagalpur
78,MH_Bhandara,bhandara
79,RJ_Bharatpur,bharatpur
80,GJ_Bharuch,bharuch
81,GJ_Bhavnagar,bhavnagar
82,RJ_Bhilwara,bhilwara
83,MP_Bhind,bhind
84,HR_Bhiwani,bhiwani
85,BR_Bhojpur,bhojpur
86,MP_Bhopal,bhopal
87,KA_Bidar,bidar
88,CT_Bijapur,bijapur
89,UP_Bijnor,bijnor
90,RJ_Bikaner,bikaner
91,CT_Bilaspur,bilaspur
92,WB_Birbhum,birbhum
93,MN_Bishnupur,bishnupur
94,AS_Biswanath,biswanath
95,JH_Bokaro,bokaro
96,AS_Bongaigaon,bongaigaon
97,GJ_Botad,botad
98,OR_Boudh,boudh
99,UP_Budaun,budaun
100,JK_Budgam,budgam
101,UP_Bulandshahr,bulandshahr
102,MH_Buldhana,buldhana
103,RJ_Bundi,bundi
104,MP_Burhanpur,burhanpur
105,BR_Buxar,buxar
106,AS_Cachar,cachar
107,DL_Central Delhi,central delhi
108,KA_Chamarajanagara,chamarajanagara
109,HP_Chamba,chamba
110,UT_Chamoli,chamoli
111,UT_Champawat,champawat
112,MZ_Champhai,champhai
113,UP_Chandauli,chandauli
114,MN_Chandel,chandel
115,CH_Chandigarh,chandigarh
116,MH_Chandrapur,chandrapur
117,AR_Changlang,changlang
118,AS_Charaideo,charaideo
119,HR_Charkhi Dadri,charkhi dadri
120,JH_Chatra,chatra
121,TN_Chengalpattu,chengalpattu
122,TN_Chennai,chennai
123,MP_Chhatarpur,chhatarpur
124,MP_Chhindwara,chhindwara
125,GJ_Chhota Udaipur,chhota udaipur
126,KA_Chikkaballapura,chikkaballapura
127,KA_Chikkamagaluru,chikkamagaluru
128,AS_Chirang,chirang
129,KA_Chitradurga,chitradurga
130,UP_Chitrakoot,chitrakoot
131,AP_Chittoor,chittoor
132,RJ_Chittorgarh,chittorgarh
133,MN_Churachandpur,churachandpur
134,RJ_Churu,churu
135,TN_Coimbatore,coimbatore
136,WB_Cooch Behar,cooch behar
137,TN_Cuddalore,cuddalore
138,OR_Cuttack,cuttack
139,DN_Dadra and Nagar Haveli,dadra and nagar haveli
140,GJ_Dahod,dahod
141,CT_Dakshin Bastar Dantewada,dakshin bastar dantewada
142,WB_Dakshin Dinajpur,dakshin dinajpur
143,KA_Dakshina Kannada,dakshina kannada
144,DN_Daman,daman
145,MP_Damoh,damoh
146,GJ_Dang,dang
147,BR_Darbhanga,darbhanga
148,WB_Darjeeling,darjeeling
149,AS_Darrang,darrang
150,MP_Datia,datia
151,RJ_Dausa,dausa
152,KA_Davanagere,davanagere
153,UT_Dehradun,dehradun
154,OR_Deogarh,deogarh
155,JH_Deoghar,deoghar
156,UP_Deoria,deoria
157,GJ_Devbhumi Dwarka,devbhumi dwarka
158,MP_Dewas,dewas
159,TR_Dhalai,dhalai
160,CT_Dhamtari,dhamtari
161,JH_Dhanbad,dhanbad
162,MP_Dhar,dhar
163,TN_Dharmapuri,dharmapuri
164,KA_Dharwad,dharwad
165,AS_Dhemaji,dhemaji
166,OR_Dhenkanal,dhenkanal
167,RJ_Dholpur,dholpur
168,AS_Dhubri,dhubri
169,MH_Dhule,dhule
170,AS_Dibrugarh,dibrugarh
171,AS_Dima Hasao,dima hasao
172,NL_Dimapur,dimapur
173,TN_Dindigul,dindigul
174,MP_Dindori,dindori
175,DN_Diu,diu
176,JK_Doda,doda
177,JH_Dumka,dumka
178,RJ_Dungarpur,dungarpur
179,CT_Durg,durg
180,BR_East Champaran,east champaran
181,DL_East Delhi,east delhi
182,ML_East Garo Hills,east garo hills
183,AP_East Godavari,east godavari
184,ML_East Jaintia Hills,east jaintia hills
185,AR_East Kameng,east kameng
186,ML_East Khasi Hills,east khasi hills
187,AR_East Siang,east siang
188,SK_East Sikkim,east sikkim
189,JH_East Singhbhum,east singhbhum
190,KL_Ernakulam,ernakulam
191,TN_Erode,erode
192,UP_Etah,etah
193,UP_Etawah,etawah
194,HR_Faridabad,faridabad
195,PB_Faridkot,faridkot
196,UP_Farrukhabad,farrukhabad
197,HR_Fatehabad,fatehabad
198,PB_Fatehgarh Sahib,fatehgarh sahib
199,UP_Fatehpur,fatehpur
200,PB_Fazilka,fazilka
201,PB_Ferozepur,ferozepur
202,UP_Firozabad,firozabad
203,KA_Gadag,gadag
204,MH_Gadchiroli,gadchiroli
205,OR_Gajapati,gajapati
206,JK_Ganderbal,ganderbal
207,GJ_Gandhinagar,gandhinagar
208,RJ_Ganganagar,ganganagar
209,OR_Ganjam,ganjam
210,JH_Garhwa,garhwa
211,CT_Gariaband,gariaband
