,test,test
0,adilabad 15211,TG_Adilabad
1,agar malwa 15732396,MP_Agar Malwa
2,agra 606343,UP_Agra
3,ahmedabad  401686,GJ_Ahmedabad
4,ahmednagar 401744,MH_Ahmednagar
5,aizwal 1947322,MZ_Aizawl
6,ajmer 413037,RJ_Ajmer
7,akola 520510,MH_Akola
8,alappuzha 928959,KL_Alappuzha
9,aligarh 766918,UP_Aligarh
10,alipurduar 4726845,WB_Alipurduar
11,alirajpur 2667586,MP_Alirajpur
12,almora 1805066,UT_Almora
13,alwar 449690,RJ_Alwar
14,ambala 2086226,HR_Ambala
15,ambedkar nagar 456764,UP_Ambedkar Nagar
16,amethi 1071494,UP_Amethi
17,amravati 1771774,MH_Amravati
18,amreli  257946,GJ_Amreli
19,amritsar 202822,PB_Amritsar
20,anand  485683,GJ_Anand
21,anantapur  15212,AP_Anantapur
22,anantnag 2982349,JK_Anantnag
23,anjaw 15413,OR_Angul
24,anugul 1772807,AR_Anjaw
25,anuppur 2299093,MP_Anuppur
26,araria 42901,BR_Araria
27,aravalli  12175285,GJ_Aravalli
28,ariyalur  15112,TN_Ariyalur
29,arwal 42917,BR_Arwal
30,ashok nagar 2246416,MP_Ashoknagar
31,auraiya 1812533,UP_Auraiya
32,aurangabad 43086,BR_Aurangabad
33,aurangabad 592942,UP_Ayodhya
34,azamgarh 793553,UP_Azamgarh
35,badgam 2594218,KA_Bagalkote
36,bagalkote  1910231,UT_Bageshwar
37,bageshwar 1815313,UP_Baghpat
38,baghpat 1797363,UP_Bahraich
39,bahraich 1812548,AS_Baksa
40,baksa 2360266,MP_Balaghat
41,balaghat 641904,OR_Balangir
42,balangir 804642,OR_Balasore
43,baleshwar 2022279,KA_Ballari
44,ballia 584644,UP_Ballia
45,balod 16056266,CT_Balod
46,baloda bazar 15663455,CT_Baloda Bazar
47,balrampur 16056268,CT_Balrampur
48,balrampur 1948380,CT_Bametara
49,banas kantha  806125,GJ_Banaskantha
50,banda 2131759,UP_Banda
51,bandipora 2983553,JK_Bandipora
52,bangalore rural 806464,BR_Banka
53,bangalore urban 806463,WB_Bankura
54,banka 43097,RJ_Banswara
55,bankura 2088458,UP_Barabanki
56,banswara 806969,JK_Baramulla
57,barabanki 633114,RJ_Baran
58,baramula 1912057,UP_Bareilly
59,baran 2329717,OR_Bargarh
60,bareilly 1797378,RJ_Barmer
61,bargarh 808140,PB_Barnala
62,barmer 42016,AS_Barpeta
63,barnala 2353293,MP_Barwani
64,barpeta 41249,CT_Bastar
65,barwani 2126754,UP_Basti
66,bastar 100152,PB_Bathinda
67,basti 715267,MH_Beed
68,bathinda 172488,BR_Begusarai
69,baudh 2363639,KA_Belagavi
70,begusarai 49157,KA_Bengaluru Rural
71,belgaum  815464,KA_Bengaluru Urban
72,bellary  1791926,MP_Betul
73,bemetara 16254159,UP_Bhadohi
74,betul 1815279,TG_Bhadradri Kothagudem
75,bhadradri kothagudem 28169767,OR_Bhadrak
76,bhadrak 685638,BR_Bhagalpur
77,bhagalpur 49155,MH_Bhandara
78,bhandara 1813857,RJ_Bharatpur
79,bharatpur 854861,GJ_Bharuch
80,bharuch  854900,GJ_Bhavnagar
81,bhavnagar  854963,RJ_Bhilwara
82,bhilwara 41991,MP_Bhind
83,bhind 2341700,HR_Bhiwani
84,bhiwani  1852857,BR_Bhojpur
85,bhojpur 49153,MP_Bhopal
86,bhopal 1797245,KA_Bidar
87,bid 814037,CT_Bijapur
88,bidar  1790568,UP_Bijnor
89,bijapur  1727570,RJ_Bikaner
90,bijapur 100164,CT_Bilaspur
91,bijnor 1937865,WB_Birbhum
92,bikaner 778996,MN_Bishnupur
93,bilaspur 100157,AS_Biswanath
94,bilaspur 1478939,JH_Bokaro
95,birbhum 2088440,AS_Bongaigaon
96,bishnupur 938190,GJ_Botad
97,bishwanath 28110722,OR_Boudh
98,bokaro 2295925,UP_Budaun
99,bongaigaon 42197,JK_Budgam
100,botad  14505072,UP_Bulandshahr
101,budaun 1815262,MH_Buldhana
102,bulandshahr 1752328,RJ_Bundi
