0,1
hp_lahul and spiti,leh  
hp_lahul and spiti,kinnaur 
hp_lahul and spiti,chamba 
hp_lahul and spiti,kangra 
hp_lahul and spiti,kishtwar 
hp_lahul and spiti,kargil  
hp_lahul and spiti,kullu 
tr_khowai,kullu 
tr_khowai,lahul and spiti 
tr_khowai,uttarkashi 
tr_khowai,shimla 
hp_kullu,shimla 
hp_kullu,lahul and spiti 
hp_kullu,kinnaur 
hp_kullu,kangra 
hp_kullu,mandi 
ut_chamoli,lahul and spiti 
ut_chamoli,kangra 
ut_chamoli,kishtwar 
ut_chamoli,pathankot 
ut_chamoli,doda 
ut_chamoli,kathua 
or_kandhamal,hoshiarpur 
or_kandhamal,lahul and spiti 
or_kandhamal,chamba 
or_kandhamal,una 
or_kandhamal,gurdaspur 
or_kandhamal,pathankot 
or_kandhamal,kullu 
or_kandhamal,mandi 
or_kandhamal,hamirpur 
mh_latur,lahul and spiti 
mh_latur,kargil  
py_karaikal,anantnag 
py_karaikal,leh  
py_karaikal,lahul and spiti 
py_karaikal,kishtwar 
py_karaikal,ganderbal 
py_karaikal,bandipora 
nl_kiphire,anantnag 
nl_kiphire,lahul and spiti 
nl_kiphire,chamba 
nl_kiphire,doda 
nl_kiphire,kargil  
ar_siang,uttarkashi 
ar_siang,kinnaur 
ar_siang,sirmaur 
ar_siang,dehradun 
ar_siang,kullu 
ar_siang,solan 
ar_siang,mandi 
gj_valsad,shimla 
gj_valsad,tehri garhwal 
gj_valsad,kinnaur 
gj_valsad,chamoli 
gj_valsad,dehradun 
gj_valsad,rudraprayag 
tg_mancherial,shimla 
tg_mancherial,kangra 
tg_mancherial,kullu 
tg_mancherial,solan 
tg_mancherial,bilaspur 
tg_mancherial,hamirpur 
tn_karur,udhampur 
tn_karur,chamba 
tn_karur,samba 
tn_karur,doda 
tn_karur,pathankot 
pb_pathankot,kathua 
pb_pathankot,chamba 
pb_pathankot,kangra 
pb_pathankot,gurdaspur 
mp_dindori,anantnag 
mp_dindori,udhampur 
mp_dindori,chamba 
mp_dindori,ramban 
mp_dindori,kishtwar 
mp_dindori,kathua 
ar_upper dibang valley,rupnagar 
ar_upper dibang valley,hoshiarpur 
ar_upper dibang valley,kangra 
ar_upper dibang valley,bilaspur 
ar_upper dibang valley,hamirpur 
hr_gurugram,bilaspur 
hr_gurugram,una 
hr_gurugram,kangra 
hr_gurugram,mandi 
up_gorakhpur,kapurthala 
up_gorakhpur,amritsar 
up_gorakhpur,hoshiarpur 
up_gorakhpur,kangra 
up_gorakhpur,pathankot 
hr_hisar,kapurthala 
hr_hisar,rupnagar 
hr_hisar,una 
hr_hisar,jalandhar 
hr_hisar,kangra 
hr_hisar,gurdaspur 
hr_hisar,shaheed bhagat singh nagar 
as_biswanath,rupnagar 
as_biswanath,una 
as_biswanath,solan 
as_biswanath,mandi 
as_biswanath,hamirpur 
gj_sabarkantha,hoshiarpur 
gj_sabarkantha,una 
gj_sabarkantha,solan 
gj_sabarkantha,shaheed bhagat singh nagar 
gj_sabarkantha,fategarh sahib 
gj_sabarkantha,sahibzada ajit singh nagar 
gj_sabarkantha,bilaspur 
gj_sabarkantha,ludhiana 
hr_sonipat,rupnagar 
hr_sonipat,shimla 
hr_sonipat,panchkula 
hr_sonipat,sirmaur 
hr_sonipat,sahibzada ajit singh nagar 
hr_sonipat,mandi 
hr_sonipat,bilaspur 
br_sitamarhi,shimla 
br_sitamarhi,ambala 
br_sitamarhi,panchkula 
br_sitamarhi,dehradun 
br_sitamarhi,saharanpur 
br_sitamarhi,solan 
br_sitamarhi,yamunanagar 
hr_panchkula,ambala 
hr_panchkula,sirmaur 
hr_panchkula,solan 
hr_panchkula,sahibzada ajit singh nagar 
hr_panchkula,chandigarh 
tn_salem,rupnagar 
tn_salem,ambala 
tn_salem,panchkula 
tn_salem,patiala 
tn_salem,solan 
tn_salem,fategarh sahib 
tn_salem,chandigarh 
ka_davanagere,haridwar 
ka_davanagere,uttarkashi 
ka_davanagere,shimla 
ka_davanagere,tehri garhwal 
ka_davanagere,sirmaur 
ka_davanagere,saharanpur 
ka_davanagere,pauri garhwal 
hr_ambala,panchkula 
hr_ambala,sirmaur 
hr_ambala,patiala 
hr_ambala,sahibzada ajit singh nagar 
hr_ambala,yamunanagar 
hr_ambala,kurukshetra 
br_saharsa,haridwar 
br_saharsa,karnal 
br_saharsa,sirmaur 
br_saharsa,dehradun 
br_saharsa,muzaffarnagar 
br_saharsa,shamli 
br_saharsa,yamunanagar 
ka_yadgir,karnal 
ka_yadgir,ambala 
ka_yadgir,sirmaur 
ka_yadgir,saharanpur 
ka_yadgir,kurukshetra 
ut_champawat,uttarkashi 
ut_champawat,bageshwar 
ut_champawat,almora 
ut_champawat,pauri garhwal 
ut_champawat,pithoragarh 
ut_champawat,rudraprayag 
ap_s.p.s. nellore,pauri garhwal 
ap_s.p.s. nellore,uttarkashi 
ap_s.p.s. nellore,chamoli 
ap_s.p.s. nellore,tehri garhwal 
mh_thane,uttarkashi 
mh_thane,pauri garhwal 
mh_thane,dehradun 
mh_thane,rudraprayag 
gj_porbandar,bageshwar 
gj_porbandar,chamoli 
gj_porbandar,almora 
gj_porbandar,champawat 
ut_bageshwar,chamoli 
ut_bageshwar,pithoragarh 
ut_bageshwar,almora 
ut_almora,nainital 
ut_almora,bageshwar 
ut_almora,chamoli 
ut_almora,champawat 
ut_almora,pauri garhwal 
ut_almora,pithoragarh 
tg_peddapalli,haridwar 
tg_peddapalli,nainital 
tg_peddapalli,bijnor 
