,districtid,timeid,cases
0,KA_Tumakuru,overall,14994023
1,KL_Idukki,overall,11227542
2,KL_Ernakulam,overall,50438266
3,KL_Alappuzha,overall,29723230
4,KA_Uttara Kannada,overall,7416471
5,KA_Udupi,overall,10952327
6,KA_Mysuru,overall,25366902
7,KL_Kannur,overall,23338609
8,KA_Vijayapura,overall,6287013
9,KL_Kasaragod,overall,13226176
10,KA_Davanagere,overall,8933843
11,KL_Kottayam,overall,29229910
12,KL_Kozhikode,overall,46991051
13,KL_Malappuram,overall,48979374
14,KL_Palakkad,overall,27986884
15,KA_Gadag,overall,4618306
16,JK_Kathua,overall,1468698
17,KA_Dakshina Kannada,overall,15204418
18,JK_Kishtwar,overall,898875
19,JK_Kulgam,overall,1625785
20,KA_Mandya,overall,10034948
21,JK_Pulwama,overall,2507017
22,JK_Kupwara,overall,2363878
23,KL_Kollam,overall,33124165
24,KA_Kodagu,overall,3795947
25,HR_Ambala,overall,5249283
26,KA_Dharwad,overall,10110540
27,HR_Palwal,overall,1853835
28,JK_Rajouri,overall,1714318
29,JK_Ganderbal,overall,1763310
30,HR_Nuh,overall,814389
31,HP_Chamba,overall,1481297
32,UP_Hamirpur,overall,2646509
33,HP_Kangra,overall,5452474
34,HP_Sirmaur,overall,2027777
35,HP_Solan,overall,3270422
36,HP_Una,overall,1755828
37,HR_Bhiwani,overall,3189008
38,HR_Charkhi Dadri,overall,730108
39,HR_Faridabad,overall,18164295
40,HR_Fatehabad,overall,2509827
41,HR_Gurugram,overall,27934672
42,HR_Hisar,overall,8006009
43,HR_Jhajjar,overall,2808955
44,HR_Jind,overall,2851621
45,HR_Kaithal,overall,1820560
46,HR_Karnal,overall,6074321
47,HR_Kurukshetra,overall,3865105
48,JK_Budgam,overall,3546252
49,JK_Jammu,overall,9412351
50,KL_Pathanamthitta,overall,18130669
51,KA_Kalaburagi,overall,10563494
52,JK_Ramban,overall,934057
53,UP_Firozabad,overall,1649198
54,JK_Samba,overall,1189968
55,UP_Kaushambi,overall,901360
56,UP_Lakhimpur Kheri,overall,3850638
57,UP_Lucknow,overall,39881393
58,UP_Maharajganj,overall,2399778
59,UP_Mahoba,overall,700122
60,UP_Mainpuri,overall,1743370
61,UP_Gautam Buddha Nagar,overall,10952614
62,UP_Etawah,overall,2516279
63,UP_Etah,overall,1466881
64,TR_North Tripura,overall,1079591
65,UP_Agra,overall,4570255
66,UP_Kasganj,overall,808080
