,districtid,weekid,cases
0,AP_Anantapur,1,759743
1,AP_Anantapur,2,337749
2,AP_Anantapur,3,473079
3,AP_Anantapur,4,473420
4,AP_Anantapur,5,652006
5,AP_Anantapur,6,448921
6,AP_Anantapur,7,473955
7,AP_Anantapur,8,474177
8,AP_Anantapur,9,654374
9,AP_Anantapur,10,469053
10,AP_Anantapur,11,708758
11,AP_Anantapur,12,476906
12,AP_Anantapur,13,476532
13,AP_Anantapur,14,699885
14,AP_Anantapur,15,679304
15,AP_Anantapur,16,517144
16,AP_Anantapur,17,533162
17,AP_Anantapur,18,682645
18,AP_Anantapur,19,564771
19,AP_Anantapur,20,993395
20,AP_Anantapur,21,937822
21,AP_Anantapur,22,649092
22,AP_Anantapur,23,463386
23,AP_Anantapur,24,1315575
24,AP_Anantapur,25,1074744
25,AP_Anantapur,26,740961
26,AP_Anantapur,27,554567
27,AP_Anantapur,28,1195205
28,AP_Anantapur,29,1119513
29,AP_Anantapur,30,1056246
30,AP_Anantapur,31,820368
31,AP_Anantapur,32,386058
32,AP_Anantapur,33,306361
33,AP_Anantapur,34,227229
34,AP_Anantapur,35,264868
35,AP_Anantapur,36,41536
36,AP_Anantapur,37,316074
37,AP_Anantapur,38,359004
38,AP_Anantapur,39,383170
39,AP_Anantapur,40,170689
40,AP_Anantapur,41,201952
41,AP_Anantapur,42,438527
42,AP_Anantapur,43,442662
43,AP_Anantapur,44,384982
44,AP_Anantapur,45,29339
45,AP_Anantapur,46,440142
46,AP_Anantapur,47,464327
47,AP_Anantapur,48,466083
48,AP_Anantapur,49,67209
49,AP_Anantapur,50,339622
50,AP_Anantapur,51,469559
51,AP_Anantapur,52,470519
52,AP_Anantapur,53,472032
53,AP_Chittoor,1,1095028
54,AP_Chittoor,2,433574
55,AP_Chittoor,3,608222
56,AP_Chittoor,4,608940
57,AP_Chittoor,5,891463
58,AP_Chittoor,6,644570
59,AP_Chittoor,7,610832
60,AP_Chittoor,8,611752
61,AP_Chittoor,9,895564
62,AP_Chittoor,10,660567
63,AP_Chittoor,11,885225
64,AP_Chittoor,12,621789
65,AP_Chittoor,13,620810
66,AP_Chittoor,14,1019650
67,AP_Chittoor,15,870383
68,AP_Chittoor,16,738121
69,AP_Chittoor,17,748014
70,AP_Chittoor,18,964029
71,AP_Chittoor,19,733078
72,AP_Chittoor,20,1333348
73,AP_Chittoor,21,1283786
74,AP_Chittoor,22,878986
75,AP_Chittoor,23,665653
76,AP_Chittoor,24,1769402
77,AP_Chittoor,25,1518738
78,AP_Chittoor,26,1016114
79,AP_Chittoor,27,795190
80,AP_Chittoor,28,1649030
81,AP_Chittoor,29,1623048
82,AP_Chittoor,30,1510515
83,AP_Chittoor,31,1109488
84,AP_Chittoor,32,532521
85,AP_Chittoor,33,321274
86,AP_Chittoor,34,187536
87,AP_Chittoor,35,231385
88,AP_Chittoor,36,37048
89,AP_Chittoor,37,348221
90,AP_Chittoor,38,367036
91,AP_Chittoor,39,402871
92,AP_Chittoor,40,182940
93,AP_Chittoor,41,217464
94,AP_Chittoor,42,519380
95,AP_Chittoor,43,527147
96,AP_Chittoor,44,465434
97,AP_Chittoor,45,21295
98,AP_Chittoor,46,529672
99,AP_Chittoor,47,578393
100,AP_Chittoor,48,583920
101,AP_Chittoor,49,84150
102,AP_Chittoor,50,392447
103,AP_Chittoor,51,596264
104,AP_Chittoor,52,600027
105,AP_Chittoor,53,604954
106,AP_East Godavari,1,1325248
107,AP_East Godavari,2,620201
108,AP_East Godavari,3,868827
109,AP_East Godavari,4,869585
110,AP_East Godavari,5,1140352
111,AP_East Godavari,6,813001
112,AP_East Godavari,7,870665
113,AP_East Godavari,8,870993
114,AP_East Godavari,9,1145219
115,AP_East Godavari,10,838887
116,AP_East Godavari,11,1275406
117,AP_East Godavari,12,875748
118,AP_East Godavari,13,873938
119,AP_East Godavari,14,1216237
120,AP_East Godavari,15,1199252
