,stateid,wave1 − weekid,wave2 − weekid,wave1 − monthid,wave2 − monthid
0,AN,53,10,12,3
3,AP,53,10,12,3
16,AR,53,10,12,3
42,AS,53,10,12,3
75,BR,53,10,12,3
113,CH,53,10,12,3
114,CT,53,10,12,3
142,DN,53,10,12,3
145,DL,53,10,12,3
156,GA,53,10,12,3
158,GJ,53,10,12,3
199,HR,53,10,12,3
221,HP,53,10,12,3
233,JK,53,10,12,3
253,JH,53,10,12,3
277,KA,53,10,12,3
308,KL,53,10,12,3
322,LA,53,10,12,3
324,MP,53,10,12,3
375,MH,53,10,12,3
410,MN,53,10,12,3
426,ML,53,10,12,3
437,MZ,53,14,12,4
446,NL,53,10,12,3
457,OR,53,14,12,4
487,PY,53,14,12,4
491,PB,53,10,12,3
513,RJ,53,10,12,3
547,SK,53,10,12,3
551,TN,53,10,12,3
596,TG,53,10,12,3
629,TR,53,14,12,4
637,UP,53,10,12,3
712,UT,53,10,12,3
725,WB,53,10,12,3
