,districtid,timeid,dose1,dose2
0,AN_Nicobars,month,3132.0,5809.0
1,AN_North and Middle Andaman,month,9056.0,17989.0
2,AN_South Andaman,month,18527.0,27144.0
3,AP_Anantapur,month,179875.0,309676.0
4,AP_Chittoor,month,206094.0,343265.0
5,AP_East Godavari,month,267902.0,548019.0
6,AP_Guntur,month,238305.0,436910.0
7,AP_Krishna,month,240818.0,408651.0
8,AP_Kurnool,month,164801.0,278652.0
9,AP_Prakasam,month,165555.0,236764.0
10,AP_S.P.S. Nellore,month,158718.0,259174.0
11,AP_Srikakulam,month,144166.0,200093.0
12,AP_Visakhapatnam,month,244271.0,355338.0
13,AP_Vizianagaram,month,119690.0,162864.0
14,AP_West Godavari,month,219570.0,382714.0
15,AP_Y.S.R. Kadapa,month,146371.0,182013.0
16,AR_Anjaw,month,1547.0,1319.0
17,AR_Changlang,month,10665.0,11581.0
18,AR_East Kameng,month,2837.0,3346.0
19,AR_East Siang,month,7296.0,4171.0
20,AR_Kamle,month,853.0,1767.0
21,AR_Kra Daadi,month,831.0,758.0
22,AR_Kurung Kumey,month,1217.0,1705.0
23,AR_Lepa Rada,month,1841.0,1622.0
24,AR_Lohit,month,3920.0,5267.0
25,AR_Longding,month,2439.0,3012.0
26,AR_Lower Dibang Valley,month,4159.0,3953.0
27,AR_Lower Siang,month,2147.0,3963.0
28,AR_Lower Subansiri,month,3498.0,4268.0
29,AR_Namsai,month,8138.0,6921.0
30,AR_Pakke Kessang,month,1061.0,1542.0
31,AR_Papum Pare,month,3908.0,3157.0
33,AR_Siang,month,1963.0,2674.0
34,AR_Tawang,month,3873.0,2339.0
35,AR_Tirap,month,4096.0,5079.0
36,AR_Upper Dibang Valley,month,553.0,583.0
37,AR_Upper Siang,month,2449.0,3276.0
38,AR_Upper Subansiri,month,3205.0,5138.0
39,AR_West Kameng,month,6945.0,9581.0
40,AR_West Siang,month,4579.0,3684.0
41,AS_Baksa,month,31304.0,97234.0
42,AS_Barpeta,month,62182.0,170396.0
43,AS_Biswanath,month,44744.0,154526.0
44,AS_Bongaigaon,month,32735.0,79116.0
45,AS_Cachar,month,62476.0,86064.0
46,AS_Charaideo,month,25100.0,85460.0
47,AS_Chirang,month,19293.0,52314.0
48,AS_Darrang,month,34343.0,78177.0
49,AS_Dhemaji,month,34625.0,83639.0
50,AS_Dhubri,month,41719.0,92949.0
51,AS_Dibrugarh,month,71859.0,140537.0
52,AS_Dima Hasao,month,11408.0,16709.0
53,AS_Goalpara,month,36246.0,98556.0
54,AS_Golaghat,month,65657.0,255356.0
55,AS_Hailakandi,month,29246.0,65932.0
56,AS_Hojai,month,37008.0,82426.0
57,AS_Jorhat,month,60847.0,203717.0
58,AS_Kamrup,month,76005.0,198121.0
59,AS_Kamrup Metropolitan,month,140861.0,182024.0
60,AS_Karbi Anglong,month,19713.0,46727.0
61,AS_Karimganj,month,35878.0,78004.0
62,AS_Kokrajhar,month,31135.0,83426.0
63,AS_Lakhimpur,month,56509.0,203656.0
64,AS_Majuli,month,13761.0,28681.0
65,AS_Morigaon,month,44744.0,154764.0
66,AS_Nagaon,month,77825.0,186816.0
67,AS_Nalbari,month,31955.0,83564.0
68,AS_Sivasagar,month,45021.0,149611.0
69,AS_Sonitpur,month,75885.0,238152.0
70,AS_South Salmara Mankachar,month,17313.0,70044.0
71,AS_Tinsukia,month,51140.0,86380.0
72,AS_Udalguri,month,27115.0,69995.0
73,AS_West Karbi Anglong,month,9909.0,23895.0
74,BR_Araria,month,73484.0,184399.0
75,BR_Arwal,month,28456.0,95594.0
76,BR_Aurangabad,month,70841.0,179344.0
77,BR_Banka,month,61466.0,105291.0
78,BR_Begusarai,month,94840.0,209499.0
79,BR_Bhagalpur,month,119597.0,234667.0
80,BR_Bhojpur,month,79235.0,205873.0
81,BR_Buxar,month,53787.0,113683.0
82,BR_Darbhanga,month,128344.0,278746.0
83,BR_East Champaran,month,147248.0,267068.0
84,BR_Gaya,month,126536.0,261015.0
85,BR_Gopalganj,month,70033.0,132074.0
86,BR_Jamui,month,48364.0,87919.0
87,BR_Jehanabad,month,37874.0,95528.0
88,BR_Kaimur,month,45288.0,104532.0
89,BR_Katihar,month,82949.0,219351.0
90,BR_Khagaria,month,46826.0,129559.0
91,BR_Kishanganj,month,44390.0,100210.0
92,BR_Lakhisarai,month,29399.0,76673.0
93,BR_Madhepura,month,54402.0,134868.0
94,BR_Madhubani,month,123733.0,229332.0
95,BR_Munger,month,51411.0,124567.0
96,BR_Muzaffarpur,month,141899.0,298693.0
97,BR_Nalanda,month,102779.0,189135.0
98,BR_Nawada,month,63156.0,157372.0
99,BR_Patna,month,329297.0,728803.0
100,BR_Purnia,month,108174.0,184738.0
101,BR_Rohtas,month,89815.0,218069.0
102,BR_Saharsa,month,56268.0,112815.0
103,BR_Samastipur,month,116644.0,254654.0
104,BR_Saran,month,135189.0,300916.0
105,BR_Sheikhpura,month,21891.0,51480.0
106,BR_Sheohar,month,22424.0,40801.0
107,BR_Sitamarhi,month,88315.0,242036.0
108,BR_Siwan,month,118410.0,258480.0
109,BR_Supaul,month,60388.0,106436.0
110,BR_Vaishali,month,96297.0,213618.0
111,BR_West Champaran,month,108076.0,275903.0
112,CH_Chandigarh,month,98070.0,202723.0
113,CT_Balod,month,47362.0,65148.0
114,CT_Baloda Bazar,month,48463.0,55870.0
115,CT_Balrampur,month,27345.0,14542.0
116,CT_Bametara,month,24883.0,31298.0
117,CT_Bastar,month,37327.0,30014.0
118,CT_Bijapur,month,11082.0,9636.0
