,districtid,timeid,dose1,dose2
0,AN_Nicobars,week,736.0,271.0
1,AN_North and Middle Andaman,week,2268.0,977.0
2,AN_South Andaman,week,4752.0,1997.0
3,AP_Anantapur,week,45469.0,19912.0
4,AP_Chittoor,week,52172.0,21363.0
5,AP_East Godavari,week,64215.0,18416.0
6,AP_Guntur,week,58607.0,19749.0
7,AP_Krishna,week,58537.0,18587.0
8,AP_Kurnool,week,41415.0,16421.0
9,AP_Prakasam,week,41057.0,17194.0
10,AP_S.P.S. Nellore,week,38593.0,17623.0
11,AP_Srikakulam,week,34280.0,11233.0
12,AP_Visakhapatnam,week,62501.0,20772.0
13,AP_Vizianagaram,week,30694.0,7334.0
14,AP_West Godavari,week,54744.0,14399.0
15,AP_Y.S.R. Kadapa,week,34774.0,13176.0
16,AR_Anjaw,week,364.0,85.0
17,AR_Changlang,week,2519.0,564.0
18,AR_East Kameng,week,680.0,207.0
19,AR_East Siang,week,1710.0,536.0
20,AR_Kamle,week,206.0,52.0
21,AR_Kra Daadi,week,194.0,59.0
22,AR_Kurung Kumey,week,285.0,95.0
23,AR_Lepa Rada,week,431.0,166.0
24,AR_Lohit,week,929.0,224.0
25,AR_Longding,week,598.0,109.0
26,AR_Lower Dibang Valley,week,990.0,271.0
27,AR_Lower Siang,week,523.0,153.0
28,AR_Lower Subansiri,week,826.0,272.0
29,AR_Namsai,week,1927.0,421.0
30,AR_Pakke Kessang,week,255.0,100.0
31,AR_Papum Pare,week,941.0,325.0
32,AR_Siang,week,462.0,143.0
33,AR_Tawang,week,922.0,306.0
34,AR_Tirap,week,967.0,188.0
35,AR_Upper Dibang Valley,week,130.0,42.0
36,AR_Upper Siang,week,582.0,212.0
37,AR_Upper Subansiri,week,769.0,243.0
38,AR_West Kameng,week,1662.0,457.0
39,AR_West Siang,week,1088.0,411.0
40,AS_Baksa,week,8793.0,1444.0
41,AS_Barpeta,week,16784.0,4443.0
42,AS_Biswanath,week,11401.0,1698.0
43,AS_Bongaigaon,week,8986.0,1904.0
44,AS_Cachar,week,16300.0,3371.0
45,AS_Charaideo,week,6662.0,1057.0
46,AS_Chirang,week,5043.0,1092.0
47,AS_Darrang,week,9357.0,1916.0
48,AS_Dhemaji,week,9307.0,1882.0
49,AS_Dhubri,week,10954.0,2460.0
50,AS_Dibrugarh,week,18547.0,4618.0
51,AS_Dima Hasao,week,2730.0,721.0
52,AS_Goalpara,week,9779.0,1785.0
