,districtid,timeid,dose 1,dose 2
0,AN_Nicobars,overall,22081,8110
1,AN_North and Middle Andaman,overall,68043,29281
2,AN_South Andaman,overall,142585,59896
3,AP_Anantapur,overall,1364374,597346
4,AP_Chittoor,overall,1565591,640864
5,AP_East Godavari,overall,1927490,552473
6,AP_Guntur,overall,1758535,592441
7,AP_Krishna,overall,1756261,557589
8,AP_Kurnool,overall,1242692,492628
9,AP_Prakasam,overall,1231912,515791
10,AP_S.P.S. Nellore,overall,1158076,528689
11,AP_Srikakulam,overall,1028569,336972
12,AP_Visakhapatnam,overall,1875574,623159
13,AP_Vizianagaram,overall,921086,220017
14,AP_West Godavari,overall,1642547,431963
15,AP_Y.S.R. Kadapa,overall,1043434,395280
16,AR_Anjaw,overall,10922,2549
17,AR_Changlang,overall,75590,16906
18,AR_East Kameng,overall,20421,6183
19,AR_East Siang,overall,51321,16080
20,AR_Kamle,overall,6199,1537
21,AR_Kra Daadi,overall,5837,1741
22,AR_Kurung Kumey,overall,8574,2847
23,AR_Lepa Rada,overall,12956,4959
24,AR_Lohit,overall,27886,6710
25,AR_Longding,overall,17969,3265
26,AR_Lower Dibang Valley,overall,29726,8102
27,AR_Lower Siang,overall,15692,4567
28,AR_Lower Subansiri,overall,24812,8151
29,AR_Namsai,overall,57846,12607
30,AR_Pakke Kessang,overall,7668,2984
31,AR_Papum Pare,overall,95012,28595
32,AR_Shi Yomi,overall,6719,2298
33,AR_Siang,overall,13877,4273
34,AR_Tawang,overall,27675,9166
35,AR_Tirap,overall,29015,5633
36,AR_Upper Dibang Valley,overall,3915,1234
37,AR_Upper Siang,overall,17475,6358
38,AR_Upper Subansiri,overall,23099,7267
39,AR_West Kameng,overall,49879,13683
40,AR_West Siang,overall,32647,12316
41,AS_Baksa,overall,263822,43318
42,AS_Barpeta,overall,503553,133271
43,AS_Biswanath,overall,342059,50926
44,AS_Bongaigaon,overall,269597,57107
45,AS_Cachar,overall,489044,101114
46,AS_Charaideo,overall,199865,31684
47,AS_Chirang,overall,151312,32751
48,AS_Darrang,overall,280728,57463
49,AS_Dhemaji,overall,279226,56455
50,AS_Dhubri,overall,328637,73776
51,AS_Dibrugarh,overall,556467,138516
52,AS_Dima Hasao,overall,81926,21625
53,AS_Goalpara,overall,293385,53550
54,AS_Golaghat,overall,489257,88744
55,AS_Hailakandi,overall,235569,43931
56,AS_Hojai,overall,306933,68878
57,AS_Jorhat,overall,503031,100117
58,AS_Kamrup,overall,607960,144232
59,AS_Kamrup Metropolitan,overall,1021908,312364
60,AS_Karbi Anglong,overall,149963,37250
61,AS_Karimganj,overall,283443,60499
62,AS_Kokrajhar,overall,261219,51130
63,AS_Lakhimpur,overall,437664,71887
64,AS_Majuli,overall,102129,28372
65,AS_Morigaon,overall,353676,51176
66,AS_Nagaon,overall,607354,132272
67,AS_Nalbari,overall,266558,51355
68,AS_Sivasagar,overall,348789,65529
69,AS_Sonitpur,overall,569789,135581
70,AS_South Salmara Mankachar,overall,147101,8487
71,AS_Tinsukia,overall,402046,81923
72,AS_Udalguri,overall,221841,44498
73,AS_West Karbi Anglong,overall,74202,13119
74,BR_Araria,overall,567117,103824
75,BR_Arwal,overall,213962,28476
76,BR_Aurangabad,overall,541455,71363
77,BR_Banka,overall,487527,77742
78,BR_Begusarai,overall,713926,112529
79,BR_Bhagalpur,overall,894035,170988
