,stateid,timeid,dose1,dose2
0,AN,overall,232709,97287
1,AP,overall,18516141,6485212
2,AR,overall,700977,199737
3,AS,overall,11430053,2442900
4,BR,overall,25167378,4859267
5,CH,overall,733579,244351
6,CT,overall,9383511,2775881
7,DL,overall,8251002,3265001
8,DN,overall,598380,90421
9,GA,overall,1112815,329909
10,GJ,overall,30219308,9623519
11,HP,overall,4950789,1513695
12,HR,overall,10492106,3191505
13,JH,overall,8797921,2134931
14,JK,overall,5546227,1573432
15,KA,overall,26662330,7837391
16,KL,overall,17281691,6657813
17,LA,overall,189535,72825
18,LD,overall,51678,17875
19,MH,overall,36383348,12813692
20,ML,overall,968800,257359
21,MN,overall,1173886,266350
22,MP,overall,31664637,6093628
23,MZ,overall,660109,217691
24,NL,overall,639379,167940
25,OR,overall,15009657,4474924
26,PB,overall,8406019,2518633
27,PY,overall,616278,157236
28,RJ,overall,28531782,8983559
29,SK,overall,500829,158042
30,TG,overall,12073689,4152114
31,TN,overall,21748109,4899375
32,TR,overall,2433697,826786
33,UP,overall,48248265,9180143
34,UT,overall,5495857,1722454
35,WB,overall,24815523,9389149
