,stateid,timeid,dose1,dose2
0,AN,month,3132.0,2374.0
1,AN,month,9056.0,11276.0
2,AN,month,18527.0,28953.0
3,AP,month,179875.0,283370.0
4,AP,month,206094.0,339760.0
5,AP,month,267902.0,230385.0
6,AP,month,238305.0,245005.0
7,AP,month,240818.0,195761.0
8,AP,month,164801.0,238789.0
9,AP,month,165555.0,229041.0
10,AP,month,158718.0,222401.0
11,AP,month,144166.0,129460.0
12,AP,month,244271.0,257647.0
13,AP,month,119690.0,71619.0
14,AP,month,219570.0,165357.0
15,AP,month,146371.0,151841.0
16,AR,month,1547.0,771.0
17,AR,month,10665.0,6921.0
18,AR,month,553.0,171.0
19,AR,month,2837.0,2760.0
20,AR,month,7296.0,4706.0
21,AR,month,13324.0,14489.0
22,AR,month,853.0,613.0
23,AR,month,831.0,657.0
24,AR,month,1217.0,586.0
25,AR,month,1841.0,1264.0
26,AR,month,3920.0,2867.0
27,AR,month,2439.0,1169.0
28,AR,month,4159.0,2967.0
29,AR,month,2147.0,2605.0
30,AR,month,3498.0,2475.0
31,AR,month,8138.0,5599.0
32,AR,month,1061.0,1160.0
33,AR,month,3908.0,3196.0
34,AR,month,1963.0,1173.0
35,AR,month,3873.0,2788.0
36,AR,month,4096.0,1801.0
37,AR,month,2449.0,2350.0
38,AR,month,3205.0,2896.0
39,AR,month,6945.0,3934.0
40,AR,month,4579.0,4451.0
41,AS,month,31304.0,16002.0
42,AS,month,62182.0,6550.0
43,AS,month,44744.0,21366.0
44,AS,month,32735.0,17916.0
45,AS,month,62476.0,33068.0
46,AS,month,25100.0,13315.0
47,AS,month,19293.0,9696.0
48,AS,month,34343.0,19699.0
49,AS,month,34625.0,20841.0
50,AS,month,41719.0,28017.0
51,AS,month,71859.0,49665.0
52,AS,month,11408.0,6459.0
53,AS,month,36246.0,18804.0
54,AS,month,65657.0,30032.0
55,AS,month,29246.0,14915.0
56,AS,month,37008.0,16688.0
57,AS,month,60847.0,37529.0
58,AS,month,140861.0,113772.0
59,AS,month,76005.0,62090.0
60,AS,month,19713.0,12776.0
61,AS,month,35878.0,18903.0
62,AS,month,31135.0,21710.0
63,AS,month,56509.0,29775.0
64,AS,month,13761.0,11524.0
65,AS,month,44744.0,17572.0
66,AS,month,77825.0,54305.0
67,AS,month,31955.0,23555.0
68,AS,month,45021.0,24124.0
69,AS,month,75885.0,9023.0
70,AS,month,17313.0,2471.0
71,AS,month,51140.0,35725.0
72,AS,month,27115.0,20017.0
73,AS,month,9909.0,3647.0
74,BR,month,73484.0,44356.0
75,BR,month,28456.0,9406.0
76,BR,month,70841.0,27229.0
77,BR,month,61466.0,22071.0
78,BR,month,94840.0,37024.0
79,BR,month,119597.0,62219.0
80,BR,month,79235.0,38069.0
81,BR,month,53787.0,28119.0
82,BR,month,128344.0,67044.0
83,BR,month,147248.0,104313.0
84,BR,month,126536.0,43548.0
85,BR,month,70033.0,27137.0
86,BR,month,48364.0,17230.0
87,BR,month,37874.0,21342.0
