,stateid,timeid,dose1,dose2
0,AN,week,695.0,260.0
1,AN,week,2267.0,970.0
2,AN,week,4983.0,2047.0
3,AP,week,49340.0,22739.0
4,AP,week,56630.0,24337.0
5,AP,week,64960.0,21337.0
6,AP,week,60595.0,22062.0
7,AP,week,60490.0,21434.0
8,AP,week,43903.0,18997.0
9,AP,week,41887.0,19579.0
10,AP,week,39837.0,19820.0
11,AP,week,35977.0,12539.0
12,AP,week,68869.0,23727.0
13,AP,week,32353.0,10094.0
14,AP,week,58079.0,17516.0
15,AP,week,35963.0,15249.0
16,AR,week,347.0,89.0
17,AR,week,2467.0,637.0
18,AR,week,124.0,42.0
19,AR,week,671.0,231.0
20,AR,week,1617.0,540.0
21,AR,week,3064.0,1164.0
22,AR,week,199.0,54.0
23,AR,week,191.0,72.0
24,AR,week,271.0,101.0
25,AR,week,408.0,164.0
26,AR,week,897.0,233.0
27,AR,week,568.0,117.0
28,AR,week,957.0,275.0
29,AR,week,500.0,153.0
30,AR,week,794.0,296.0
31,AR,week,1839.0,447.0
32,AR,week,244.0,105.0
33,AR,week,910.0,352.0
34,AR,week,441.0,145.0
35,AR,week,883.0,321.0
36,AR,week,948.0,202.0
37,AR,week,551.0,212.0
38,AR,week,740.0,271.0
39,AR,week,1637.0,487.0
40,AR,week,1027.0,410.0
41,AS,week,11072.0,1597.0
42,AS,week,20097.0,4971.0
43,AS,week,11871.0,2198.0
44,AS,week,11032.0,2144.0
45,AS,week,19069.0,3769.0
46,AS,week,7354.0,1204.0
47,AS,week,6090.0,1200.0
48,AS,week,11869.0,2255.0
49,AS,week,10709.0,2352.0
50,AS,week,14049.0,2616.0
51,AS,week,21350.0,5406.0
52,AS,week,2727.0,774.0
53,AS,week,11852.0,2040.0
54,AS,week,17760.0,3296.0
55,AS,week,9883.0,1731.0
56,AS,week,13074.0,2592.0
57,AS,week,18834.0,3612.0
58,AS,week,34253.0,13215.0
59,AS,week,23652.0,5849.0
60,AS,week,5368.0,1396.0
61,AS,week,11372.0,2339.0
62,AS,week,10322.0,1918.0
63,AS,week,16687.0,2988.0
64,AS,week,3464.0,1027.0
65,AS,week,12952.0,2125.0
66,AS,week,23612.0,4739.0
67,AS,week,10724.0,2005.0
68,AS,week,12717.0,2513.0
69,AS,week,20287.0,5097.0
70,AS,week,5467.0,352.0
71,AS,week,15973.0,3100.0
72,AS,week,9031.0,1657.0
73,AS,week,2700.0,489.0
74,BR,week,20956.0,3934.0
75,BR,week,8303.0,1083.0
76,BR,week,20311.0,2727.0
77,BR,week,18278.0,2906.0
78,BR,week,25565.0,4277.0
79,BR,week,31234.0,6374.0
80,BR,week,22420.0,3810.0
81,BR,week,15009.0,2934.0
82,BR,week,36494.0,7068.0
83,BR,week,45311.0,8147.0
84,BR,week,35240.0,7172.0
85,BR,week,19562.0,3478.0
86,BR,week,14326.0,2184.0
87,BR,week,10264.0,1984.0
88,BR,week,12499.0,1782.0
89,BR,week,23386.0,3418.0
90,BR,week,13555.0,2090.0
91,BR,week,12584.0,1907.0
92,BR,week,8083.0,1252.0
93,BR,week,15111.0,2651.0
94,BR,week,36797.0,7110.0
95,BR,week,13763.0,2453.0
96,BR,week,39028.0,7332.0
97,BR,week,27025.0,6151.0
98,BR,week,17798.0,2977.0
99,BR,week,85474.0,32239.0
100,BR,week,30216.0,6829.0
101,BR,week,24541.0,4373.0
102,BR,week,15283.0,2880.0
103,BR,week,35531.0,6542.0
104,BR,week,37315.0,7755.0
105,BR,week,5903.0,1082.0
106,BR,week,6201.0,1406.0
107,BR,week,26783.0,4474.0
108,BR,week,32356.0,6665.0
109,BR,week,16789.0,3184.0
110,BR,week,29131.0,5088.0
111,BR,week,30469.0,3885.0
112,CH,week,24935.0,9392.0
113,CT,week,11949.0,3931.0
114,CT,week,11643.0,3044.0
115,CT,week,6184.0,1333.0
116,CT,week,8781.0,2548.0
117,CT,week,5868.0,1570.0
118,CT,week,2547.0,937.0
119,CT,week,20054.0,7375.0
120,CT,week,3636.0,1243.0
121,CT,week,10725.0,3373.0
122,CT,week,21017.0,9807.0
123,CT,week,5419.0,1340.0
124,CT,week,3624.0,868.0
125,CT,week,14741.0,4593.0
126,CT,week,8803.0,2375.0
127,CT,week,8055.0,2473.0
128,CT,week,8322.0,2155.0
129,CT,week,5553.0,1130.0
130,CT,week,13553.0,4281.0
131,CT,week,5956.0,1679.0
132,CT,week,15066.0,4732.0
133,CT,week,6223.0,1681.0
134,CT,week,1120.0,394.0
135,CT,week,28940.0,9489.0
136,CT,week,37821.0,14408.0
137,CT,week,22777.0,6160.0
138,CT,week,3385.0,1136.0
139,CT,week,7301.0,1681.0
140,CT,week,10708.0,3457.0
141,DN,week,11300.0,1896.0
142,DN,week,6725.0,1732.0
143,DN,week,1193.0,590.0
144,DL,week,29029.0,10859.0
145,DL,week,22935.0,8926.0
146,DL,week,22525.0,11211.0
147,DL,week,24446.0,8210.0
148,DL,week,18691.0,5898.0
149,DL,week,35347.0,13790.0
150,DL,week,20564.0,8378.0
151,DL,week,30558.0,12403.0
152,DL,week,28199.0,11275.0
153,DL,week,32724.0,13330.0
154,DL,week,30255.0,13489.0
155,GA,week,17227.0,5970.0
156,GA,week,18988.0,6596.0
157,GJ,week,31407.0,7993.0
158,GJ,week,107510.0,38639.0
159,GJ,week,22508.0,7642.0
160,GJ,week,37283.0,10876.0
161,GJ,week,17625.0,6415.0
162,GJ,week,52374.0,20381.0
163,GJ,week,29297.0,8157.0
164,GJ,week,24661.0,7424.0
165,GJ,week,10923.0,4724.0
166,GJ,week,10269.0,2195.0
167,GJ,week,15619.0,5442.0
168,GJ,week,29695.0,11827.0
169,GJ,week,2574.0,629.0
170,GJ,week,13677.0,4410.0
171,GJ,week,20824.0,5925.0
172,GJ,week,10292.0,3777.0
173,GJ,week,19994.0,5121.0
174,GJ,week,15522.0,5253.0
175,GJ,week,11405.0,4407.0
176,GJ,week,21109.0,6915.0
177,GJ,week,6084.0,2861.0
178,GJ,week,32641.0,10236.0
179,GJ,week,33681.0,9733.0
180,GJ,week,16189.0,7959.0
181,GJ,week,33080.0,12687.0
182,GJ,week,15172.0,3699.0
183,GJ,week,10348.0,4537.0
184,GJ,week,23273.0,8120.0
185,GJ,week,25014.0,8335.0
186,GJ,week,20538.0,6582.0
187,GJ,week,11236.0,4303.0
188,GJ,week,27748.0,7618.0
189,GJ,week,30538.0,12258.0
190,GJ,week,24796.0,8064.0
191,GJ,week,27153.0,6562.0
192,GJ,week,87089.0,28785.0
193,GJ,week,26655.0,5569.0
194,GJ,week,12041.0,3917.0
195,GJ,week,29023.0,8962.0
196,GJ,week,39704.0,16851.0
197,GJ,week,30067.0,9133.0
198,HR,week,22527.0,9679.0
199,HR,week,15482.0,4259.0
200,HR,week,10211.0,3692.0
201,HR,week,36076.0,11743.0
202,HR,week,12314.0,3305.0
203,HR,week,52744.0,21164.0
204,HR,week,19329.0,5265.0
205,HR,week,14549.0,4173.0
206,HR,week,12385.0,3319.0
207,HR,week,12458.0,3365.0
208,HR,week,20372.0,7313.0
209,HR,week,12810.0,4259.0
210,HR,week,12915.0,4222.0
211,HR,week,5672.0,1032.0
212,HR,week,12392.0,3051.0
213,HR,week,11820.0,4950.0
214,HR,week,14112.0,4381.0
215,HR,week,12763.0,4918.0
216,HR,week,13779.0,4537.0
217,HR,week,16415.0,4784.0
218,HR,week,21201.0,7121.0
219,HR,week,15335.0,5748.0
220,HP,week,9604.0,3405.0
221,HP,week,10702.0,3125.0
222,HP,week,11523.0,4614.0
223,HP,week,35909.0,12121.0
224,HP,week,2346.0,795.0
225,HP,week,10359.0,3038.0
226,HP,week,943.0,295.0
227,HP,week,23537.0,8196.0
228,HP,week,19728.0,6595.0
229,HP,week,12374.0,2808.0
230,HP,week,20485.0,4613.0
231,HP,week,13159.0,4430.0
232,JK,week,13497.0,3365.0
233,JK,week,5432.0,1406.0
234,JK,week,15243.0,4215.0
235,JK,week,10350.0,3382.0
236,JK,week,7083.0,1502.0
237,JK,week,4658.0,1449.0
238,JK,week,23724.0,11267.0
239,JK,week,10240.0,2930.0
240,JK,week,3387.0,1047.0
241,JK,week,7153.0,2161.0
242,JK,week,12250.0,2188.0
243,JK,week,8434.0,1657.0
244,JK,week,8427.0,2446.0
245,JK,week,9899.0,2072.0
246,JK,week,5454.0,1733.0
247,JK,week,5969.0,1311.0
248,JK,week,6585.0,2169.0
249,JK,week,3944.0,1399.0
250,JK,week,16526.0,4603.0
251,JK,week,10032.0,2954.0
252,JH,week,16704.0,5043.0
253,JH,week,9808.0,1691.0
254,JH,week,13457.0,3012.0
255,JH,week,21413.0,7111.0
256,JH,week,13325.0,3029.0
257,JH,week,26991.0,9692.0
258,JH,week,10290.0,2159.0
259,JH,week,20816.0,3680.0
260,JH,week,13267.0,2443.0
261,JH,week,9677.0,2360.0
262,JH,week,17559.0,4004.0
263,JH,week,8512.0,1964.0
264,JH,week,5095.0,1630.0
265,JH,week,9347.0,1859.0
266,JH,week,6274.0,1268.0
267,JH,week,4486.0,1010.0
268,JH,week,8334.0,1509.0
269,JH,week,17664.0,4078.0
270,JH,week,10062.0,2568.0
271,JH,week,28646.0,9539.0
272,JH,week,9107.0,1586.0
