,districtid,vaccinationratio
0,AN_Nicobars,inf
1,AN_North and Middle Andaman,inf
2,AN_South Andaman,265775980.0
3,AP_Anantapur,1417.0
4,AP_Chittoor,1154.0
5,AP_East Godavari,1272.0
6,AP_Guntur,876.0
7,AP_Krishna,876.0
8,AP_Kurnool,1283.0
9,AP_Prakasam,967.0
10,AP_S.P.S. Nellore,1569.0
11,AP_Srikakulam,1475.0
12,AP_Visakhapatnam,1083.0
13,AP_Vizianagaram,1402.0
14,AP_West Godavari,1055.0
15,AP_Y.S.R. Kadapa,1567.0
16,AR_Anjaw,inf
17,AR_Changlang,inf
18,AR_Upper Dibang Valley,inf
19,AR_East Kameng,inf
20,AR_East Siang,inf
21,AR_Papum Pare,31377777.0
25,AR_Kamle,inf
26,AR_Kra Daadi,inf
27,AR_Kurung Kumey,inf
28,AR_Lepa Rada,735357.0
29,AR_Lohit,1017979.0
30,AR_Longding,5358620.0
31,AR_Lower Dibang Valley,18612449.0
32,AR_Lower Siang,inf
33,AR_Lower Subansiri,54773417.0
34,AR_Namsai,21849111.0
35,AR_Pakke Kessang,inf
36,AR_Shi Yomi,inf
37,AR_Siang,inf
38,AR_Tawang,12913245.0
39,AR_Tirap,2434586.0
40,AR_Upper Siang,inf
41,AR_Upper Subansiri,inf
42,AR_West Kameng,570914.0
43,AR_West Siang,2563646.0
44,AS_Baksa,2078.0
45,AS_Barpeta,109.0
46,AS_Biswanath,2238.0
47,AS_Bongaigaon,2713.0
48,AS_Cachar,1169.0
49,AS_Charaideo,3149.0
50,AS_Chirang,1482.0
51,AS_Darrang,2655.0
52,AS_Dhemaji,1726.0
53,AS_Dhubri,4648.0
54,AS_Dibrugarh,2128.0
55,AS_Dima Hasao,1157.0
56,AS_Goalpara,3292.0
57,AS_Golaghat,1972.0
58,AS_Hailakandi,1616.0
59,AS_Hojai,824.0
60,AS_Jorhat,2020.0
61,AS_Kamrup Metropolitan,1428.0
62,AS_Kamrup,2281.0
63,AS_Karbi Anglong,1623.0
64,AS_Karimganj,2032.0
65,AS_Kokrajhar,2555.0
66,AS_Lakhimpur,2351.0
67,AS_Majuli,2729.0
68,AS_Morigaon,3053.0
69,AS_Nagaon,2309.0
70,AS_Nalbari,3016.0
71,AS_Sivasagar,1914.0
72,AS_Sonitpur,210.0
73,AS_South Salmara Mankachar,2642.0
74,AS_Tinsukia,5178.0
75,AS_Udalguri,4728.0
76,AS_West Karbi Anglong,2450.0
77,BR_Araria,1244859.0
78,BR_Arwal,10163213.0
79,BR_Aurangabad,9354.0
80,BR_Banka,2294.0
81,BR_Begusarai,4346058.0
82,BR_Bhagalpur,3075.0
83,BR_Bhojpur,247484.0
84,BR_Buxar,5635.0
85,BR_Darbhanga,2244.0
86,BR_East Champaran,1723.0
87,BR_Gaya,821.0
88,BR_Gopalganj,17229824.0
89,BR_Jamui,3582536.0
90,BR_Jehanabad,7161.0
91,BR_Kaimur,11519189.0
92,BR_Katihar,3061585.0
93,BR_Khagaria,47275749.0
94,BR_Kishanganj,13932504.0
95,BR_Lakhisarai,2676896.0
96,BR_Madhepura,12519079.0
97,BR_Madhubani,2552.0
98,BR_Munger,1944905.0
99,BR_Muzaffarpur,3271.0
100,BR_Nalanda,11052.0
101,BR_Nawada,8577.0
102,BR_Patna,229.0
103,BR_Purnia,1723.0
104,BR_Rohtas,8985.0
105,BR_Saharsa,15429240.0
106,BR_Samastipur,13909.0
107,BR_Saran,2251.0
108,BR_Sheikhpura,26365893.0
109,BR_Sheohar,18986994.0
110,BR_Sitamarhi,14227433.0
111,BR_Siwan,4228.0
112,BR_Supaul,7669.0
113,BR_Vaishali,2841.0
114,BR_West Champaran,10803178.0
115,CH_Chandigarh,80372.0
116,CT_Balod,3951.0
117,CT_Baloda Bazar,3873.0
118,CT_Balrampur,4826.0
119,CT_Bastar,3649.0
