,districtid,vaccinateddose1ratio,vaccinateddose2ratio
0,AN_Nicobars,0.01798405051662287,0.0619308812232198
1,AN_South Andaman,0.017612432702198113,0.060160841870826307
2,AP_Anantapur,0.03275373128997911,0.09406726960347508
3,AP_Chittoor,0.028737199878749328,0.0852091111599095
4,AP_East Godavari,0.030558244053623614,0.10657964554439645
5,AP_Guntur,0.03157941438568169,0.10593065996567481
6,AP_Krishna,0.028694482473652742,0.09357754762624704
7,AP_Kurnool,0.0355687108386323,0.10901426724302889
8,AP_Prakasam,0.029812794023583628,0.08869646675121264
9,AP_Srikakulam,0.02766101760684083,0.09734948308632169
10,AP_Visakhapatnam,0.025704332322774536,0.08921359055868028
11,AP_Vizianagaram,0.02837115055821115,0.11349238256530483
12,AP_West Godavari,0.027832795606195074,0.10299216402584228
13,AR_Anjaw,0.020960393402234177,0.08706650816698408
14,AR_Changlang,0.022280326630616548,0.11994025077842296
15,AR_East Kameng,0.040958519934291476,0.17283034118013976
16,AR_East Siang,0.020098623317028465,0.06573759162706072
17,AR_Papum Pare,0.01972036578719298,0.08595338141487464
21,AR_Kurung Kumey,0.10269198983296213,0.295855972803717
22,AR_Lohit,0.06031138630600519,0.2883299631589153
23,AR_Lower Dibang Valley,0.019992820625433692,0.08470063462827573
24,AR_Lower Subansiri,0.03492247488172709,0.10925531900895175
25,AR_Tawang,0.0178987382028846,0.05910849389660478
26,AR_Tirap,0.04527095866485542,0.21286039893622077
27,AR_Upper Siang,0.020531481702159817,0.06500653378241585
28,AR_Upper Subansiri,0.03854345214423587,0.14227429504764472
29,AR_West Kameng,0.017761456072519263,0.06336249093306584
30,AR_West Siang,0.03398464978926454,0.10985434812812982
31,AS_Baksa,0.05196013998378644,0.283977802460309
32,AS_Barpeta,0.04359056054246379,0.132726157191151
33,AS_Bongaigaon,0.035114009886526944,0.15142150575451896
34,AS_Cachar,0.04274839717849556,0.21473867451915504
35,AS_Chirang,0.04223520133859875,0.17083404195011337
36,AS_Darrang,0.04113536623412434,0.1927550267334718
37,AS_Dhemaji,0.03161231937476134,0.15828572417253492
38,AS_Dhubri,0.07347218529938893,0.3135984951838676
39,AS_Dibrugarh,0.028805664152193794,0.12685740333965803
40,AS_Dima Hasao,0.02925891589144702,0.11437035992406007
41,AS_Goalpara,0.04593811500278381,0.2264113443832556
42,AS_Golaghat,0.03244085960822166,0.17270859463579105
43,AS_Hailakandi,0.03614917940645571,0.18093901689661768
44,AS_Jorhat,0.031422726050713654,0.14753710627327438
45,AS_Kamrup Metropolitan,0.013489035770786716,0.05435988718248398
46,AS_Kamrup,0.03145379174136865,0.13849075988757872
47,AS_Karbi Anglong,0.07541681755608355,0.3048965795168907
48,AS_Karimganj,0.05452404761108109,0.25327141679835063
49,AS_Kokrajhar,0.04682402121659526,0.21104760871613193
50,AS_Lakhimpur,0.03430806003384595,0.17411620076935208
51,AS_Morigaon,0.03924247529062261,0.233692903560912
52,AS_Nagaon,0.05906928362861128,0.2824850765298339
53,AS_Nalbari,0.04000417440814078,0.20033340481554732
54,AS_Sivasagar,0.04631282442967389,0.21807751892749172
55,AS_Sonitpur,0.04617118095337462,0.17169870990609223
56,AS_Tinsukia,0.04083879873631604,0.22687327817808284
57,AS_Udalguri,0.05027018316410543,0.23858077275375605
58,BR_Araria,0.061860185506475734,0.3788474507756312
59,BR_Arwal,0.04569582556949688,0.26987978994720957
60,BR_Aurangabad,0.06021760642510033,0.41895775542740876
61,MH_Aurangabad,0.025703404552856895,0.09438350669611298
62,BR_Banka,0.04848024487019267,0.28689052279656513
63,BR_Begusarai,0.04821088319414854,0.30089130665551644
64,BR_Bhagalpur,0.04009940137463099,0.2190163045613767
65,BR_Bhojpur,0.055159936618395244,0.31923252877987823
66,BR_Buxar,0.048598336861397286,0.2685904225554302
67,BR_Darbhanga,0.047376436509046264,0.2489898148650534
68,BR_Gaya,0.05354971945593298,0.2433923547490274
69,BR_Gopalganj,0.05496492140986294,0.34334308189042584
70,BR_Jamui,0.052769940380088774,0.3343280469744385
71,BR_Katihar,0.06187837727371925,0.38821209099221193
72,BR_Khagaria,0.057321444641837346,0.3520010102507508
73,BR_Kishanganj,0.059761331540729073,0.3426690930276448
74,BR_Lakhisarai,0.05798140133730422,0.35761097722843205
75,BR_Madhepura,0.05632314579153614,0.34287531882888506
76,BR_Madhubani,0.05438293560833477,0.29495552312290174
77,BR_Munger,0.04422569585794646,0.24009512068520317
78,BR_Muzaffarpur,0.05424224399875392,0.318928228988707
79,BR_Nalanda,0.041752777039576014,0.2116861459059759
80,BR_Nawada,0.05447700313417321,0.29650630592280147
81,BR_Patna,0.02913029960087783,0.09367202190614828
82,BR_Purnia,0.04537749705960507,0.2623158823765266
83,BR_Rohtas,0.05269300772899663,0.3190346520033129
84,BR_Saharsa,0.050876552433208266,0.2974200429575554
85,BR_Samastipur,0.05408973494650714,0.27737117767901814
86,BR_Saran,0.04512483933848649,0.22797731200401883
87,BR_Sheikhpura,0.04654491035045719,0.24028519664476314
88,BR_Sheohar,0.041949573652298205,0.21969084748123116
89,BR_Sitamarhi,0.060154980549900046,0.3633166276031469
90,BR_Siwan,0.04206999178271525,0.21226994068359753
91,BR_Supaul,0.05583033546676088,0.37416035002354997
92,BR_Vaishali,0.05362026759681956,0.30761494233904774
93,CH_Chandigarh,0.0169626144267321,0.05924167290918066
94,CT_Balrampur,0.0896703027960922,0.5556153177210997
95,UP_Balrampur,0.04506197574910228,0.21786654409889622
96,CT_Bastar,0.046018299027392205,0.20364600385503945
97,CT_Bijapur,0.025392664531492755,0.07760949497726115
98,CT_Bilaspur,0.005871075542777749,0.02346869262910297
99,HP_Bilaspur,0.013851500036409708,0.04966971039223045
100,CT_Dakshin Bastar Dantewada,0.040121806423362584,0.13236861936164968
101,CT_Durg,0.047672137039943954,0.14893692644951154
102,CT_Uttar Bastar Kanker,0.025196507872426322,0.09882636752687128
103,CT_Kabeerdham,0.03087465257260494,0.15352643268298047
104,CT_Koriya,0.03132603701292811,0.1531856753584334
105,CT_Mahasamund,0.020651370187859452,0.08187274974679201
106,CT_Narayanpur,0.03354110008187368,0.10627188028718186
107,CT_Raigarh,0.017344822230095973,0.06774088968228094
108,CT_Raipur,0.04074096270518568,0.1335466554217542
